# EXAMPLE FanDuel-style salaries — NOT live FanDuel prices.
# Same schema as Sample CSV: name,team,pos,salary,proj,mlbId
# Required: name, team, pos, salary. Optional: proj, mlbId.
# FanDuel pos: P, C, 1B, 2B, 3B, SS, OF, DH.
name,team,pos,salary,proj,mlbId
Tarik Skubal,DET,P,11200,33.8,669373
Zack Wheeler,PHI,P,10400,29.2,554430
Gerrit Cole,NYY,P,10200,31.6,543037
Aaron Judge,NYY,OF,4500,18.8,592450
Shohei Ohtani,LAD,DH,5600,24.8,660271
Juan Soto,NYY,OF,3600,14.2,665742
Kyle Schwarber,PHI,OF,3700,15.8,656941
Yordan Alvarez,HOU,OF,4000,16.1,670541
Freddie Freeman,LAD,1B,3900,13.6,518692
Matt Olson,ATL,1B,3800,12.6,621566
Jose Altuve,HOU,2B,3200,11.4,514888
Gunnar Henderson,BAL,SS,3400,12.0,683002
Manny Machado,SD,3B,3600,12.4,592518
Corey Seager,TEX,SS,3800,13.1,608369
Cal Raleigh,SEA,C,3300,12.8,663728
Ketel Marte,AZ,2B,3400,12.2,606466
Francisco Lindor,NYM,SS,3500,12.5,596019
Rafael Devers,BOS,3B,3700,13.0,646240
Elly De La Cruz,CIN,SS,3200,12.7,682829
Julio Rodriguez,SEA,OF,3600,13.4,677594
